type,id,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,email,name,opening_hours,operator,phone,service:bicycle:ebike,service:bicycle:parts,service:bicycle:repair,shop,website,id_prop,created_by,service:bicycle:retail,service:bicycle:second_hand,addr:country,service:bicycle:bike,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:mtb,service:bicycle:service,service:bicycle:tools,image,payment:credit_cards,payment:debit_cards,service:bicycle:pump,wheelchair,amenity,check_date:opening_hours,contact:email,fax,level,service:bicycle:rental,addr:housename,addr:housenumber:old,addr:street:old,designation,source,addr:place,service:bicycle:diy,contact:fax,contact:phone,addr:floor,payment:cash,check_date:currency:XBT,currency:XBT,description,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:bicycle,service:bicycle:chain_tool,service:bicycle:sales,contact:website,check_date:service:bicycle:retail,addr:suburb,commons,repair,atm,vending,vending_machine,payment:mastercard,alt_name,brand,brand:wikidata,brand:wikipedia,note,payment:american_express,payment:diners_club,payment:ep_geldkarte,payment:jcb,payment:maestro,payment:unionpay,payment:visa,bicycle,information,map_size,map_type,mtb,tourism,entrance,ele,at_bev:addr_date,mobile,start_date,compressed_air,contact:facebook,contact:instagram,contact:mobile,contact:name,payment:contactless,phone:mobile,check_date:service:bicycle:pump,service,payment:cards,payment:coins,payment:notes,identity,provides,source:date,toilets:wheelchair,fixme,service:bicycle:sportswear,advertising,cafe,old_name,poster,barrier,nobrand,payment:app,payment:apple_pay,addr:unit,payment:account_cards,opening_hours:signed,step_count,addr:door,payment:v_pay,service:bicycle:bicycle_sales_and_service,UID,opening_hours:url,service:bicycle:cargobike,not:brand:wikidata,ref:vatin,internet_access,second_hand,parts,official_name,service:bicycle:rental:electric_mtb,service:bicycle:rental:mtb,service:bicycle:rims,service:bicycle:wheels,service:bicycle:emtb,service:bicycle:screwdriver,currency:EUR,payment:girocard,payment:visa_debit,service:bicycle:chaintool,service:bicycle:service_case,service:bicycle:stand,service:bicycle:suspension,service:bicycle:suspension_service,service:bicycle:wash,stroller,operator:wikidata,service:bicycle:charging,bicycle:rental,alt_name:de,payment:credit_card,trade,bicycle:type,addr:hamlet,url,building:levels,addr:flats,air_conditioning,service:bicycle:spare_parts,toilets,rental,internet_access:fee,fee,contact:whatsapp,internet,payment:paypal,service:bicycle:tuning,sport,branch,check_date:service:bicycle:repair,toilets:access,toilets:fee,toilets:gender_segregated,access,opening_date,service:bicycle:accessories,instagram,capacity,operator:type,bicycle_rental,payment:qr_code,changing_table,dog,handwashing:soap,toilets:handwashing,toilets:paper_supplied,toilets:position,geometry
Feature,node/344228490,Graz,34,8045,Am Andritzbach,,,Bikestore Graz Nord,Mo-Fr 09:55-18:35; Sa 08:25-12:05,Kratzer&Eisner OG,,,,,bicycle,https://www.bikestore.cc/info_pages.php/pages_id/36,node/344228490,,,,AT,,,,,,,,,,,,,,,graznord@bikestore.cc,,,,,,,,survey,,,+43 316 69 27 21,+43 316 69 25 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4149109,47.104514]}"
Feature,node/378302209,Wien,20,1060,Stiegengasse,2025-12-08,,Ciclopia,"Mo,Tu,Th,Fr 10:00-13:00, 14:00-18:30; Sa 10:00-13:00; We,Su,PH off",,+43 1 5867633,,,yes,bicycle,http://ciclopia.at/,node/378302209,,,,AT,,,,,,,,,yes,yes,yes,limited,,,,,-2,,,,,,,,,,,-2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.356728,48.1989251]}"
Feature,node/384846867,Weiden am See,4,7121,Sportplatzgasse,,,Enzo´s Radverleih,Tu-Su 09:00-23:00; Mo off,,+43 2167 70260,,,yes,bicycle,http://www.enzosbistro.at/radverleih/,node/384846867,,yes,,,,,,,,,,,,,,,bicycle_rental,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.8630342,47.9258037]}"
Feature,node/385376070,Bad Hall,23a,4540,Steyrer Straße,,,Radlmacher,,,,,,,bicycle,,node/385376070,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.2151778,48.031374]}"
Feature,node/414189927,Alpbach,701,6236,Alpbach,,verleih@rent-a-bike.at,RENT A BIKE,,,+43 50 73 73,,,,bicycle,https://www.rent-a-bike.at/filialen/rab-701-bikerei-alpbach,node/414189927,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.9415837,47.399295]}"
Feature,node/419518864,,,,,,info@alpbike.at,Alpbike Klieber,"Mo-Fr 08:30-12:00,14:00-18:00; Sa 08:00-12:00",Klieber Andreas,+43 664 3819900,,,,bicycle,https://www.alpbike.at/,node/419518864,,,,,,,,,,,,,,,,,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.8779696,47.417963]}"
Feature,node/444494196,,,,,,,SpielRadl,"Mo-Fr 09:00-12:00, 15:00-18:00; Sa 09:00-12:00",,+43 5244 638 39,,,yes,bicycle,https://www.spielradl.at,node/444494196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.7745418,47.3956195]}"
Feature,node/452461938,Wien,13,1070,Lerchenfelder Straße,,wien7@citybiker.at,Citybiker,Tu-Fr 11:00-19:00; Sa 11:00-17:00,Citybiker OG,+43 1 5221902,yes,yes,yes,bicycle,https://citybiker.at/,node/452461938,,yes,,AT,yes,yes,yes,yes,,yes,yes,,,,yes,,,2024-10-29,,,,,,,,,,,yes,,,,,2023-01-31,yes,"Stadt-, Sport- & Tourenräder, Fahrradtaschen, Helme, Rucksäcke, Schlösser, Werkstatt",no,no,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3530613,48.2059194]}"
Feature,node/465228471,Wien,29,1020,Praterstraße,,wien2@roadbiker.at,Roadbiker,"Tu-Fr 10:00-18:30; Sa 09:00-16:30; Su,Mo off",,+43 1 2645381,,,yes,bicycle,https://www.roadbiker.at/,node/465228471,,yes,,AT,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3837188,48.2146305]}"
Feature,node/465246681,Fußach,12,6972,Dorfstraße,,,Velo Novo,"Mo,We 08:00-12:00,14:00-18:00; Tu off; Th 13:00-19:00; Fr 10:00-18:00",Jürgen Giselbrecht,,,,yes,bicycle,,node/465246681,,yes,,,,,,,,,,,,,,,,,hallo@velo-novo.at,,,yes,,,,,,,,,+43 699 150 46 373,,,,,,,,,,,,,https://www.velo-novo.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.6638053,47.478185]}"
Feature,node/473467104,Langenzersdorf,4,2103,Meisengasse,,wien@bikestore.cc,BikeStore Wien Nord,Mo-Fr 10:00-19:00; Sa 09:00-17:00,,+43 2244 33726,,,yes,bicycle,https://bikestore.cc/,node/473467104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3711974,48.3001645]}"
Feature,node/485562251,Gablitz,64,3003,Linzer Straße,,,Bike Franz,Th 15:00-19:00; Fr 10:00-18:00; Sa 09:00-13:00,,,,,yes,bicycle,http://www.bikefranz.at,node/485562251,,,,AT,,,,,,,,,,,no,,,2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.1562405,48.2279847]}"
Feature,node/506266150,,,,,,,Bikeshop Huber und Schiendorfer,,,,,,,bicycle,,node/506266150,,,,,,,,,,,,,,,,,bicycle_rental,,office@rad-gartentechnik.at,,,,,,,,,,,,+43 6137 72 45,,,,,,,,,,,,,http://www.rad-gartentechnik.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.4765393,47.7142903]}"
Feature,node/560305171,Wien,12,1090,Spittelauer Lände,,,Bikers,Mo-Fr 10:00-19:00; Sa 10:00-14:00; PH off,,+43 1 276 49 60,,,yes,bicycle,https://www.bikers.wien/,node/560305171,,yes,no,AT,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.361003,48.234908]}"
Feature,node/581302104,Schönkirchen-Reyersdorf,48,2241,Hauptstraße,,,MAXYOU - Fahrrad I Outdoor I Sport,"Mo-We 10:00-13:00,14:00-18:00; Fr 10:00-13:00,14:00-18:00, Sa 10:00-13:00",,+43 2282 62582,,,,bicycle,,node/581302104,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.6855907,48.3723121]}"
Feature,node/586929134,,,,,,,Radverleih Mürner,Apr-Oct: 06:30-20:00,,+43 650 60 227 09,,,yes,bicycle,https://www.radverleih.at/,node/586929134,,yes,,,,,,,,,,,,,,,bicycle_rental,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.8030063,47.76113]}"
Feature,node/587098458,Innsbruck,20,6020,Gumppstraße,,,BikePoint,"Mo-Fr 08:30-12:30, 14:30-18:30; Sa 08:30-12:00; PH off",Roland Gamsjäger,+43 512 361275,,,yes,bicycle,https://bike-point.at/,node/587098458,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pradl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.4108965,47.2641981]}"
Feature,node/600938819,Wien,6,1220,Bergengasse,,admin@oktosport.at,Oktosport,"Mar-Oct Mo-Fr 09:00-13:00, 14:00-18:00; Mar-Oct Sa 09:00-13:00; Nov-Feb Mo-Fr 09:00-12:00, 14:00-18:00; Nov-Feb Sa 09:00-12:00; PH off",,,,,yes,bicycle,https://www.oktosport.at/,node/600938819,,yes,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.4736585,48.2147925]}"
Feature,node/639222740,Wien,8,1150,Goldschlagstraße,,,The Vienna Bikekitchen,Th 17:00-20:00,,,,,no,bicycle,http://bikekitchen.net/,node/639222740,,no,,AT,,,,,,,,,,,,no,,,,,,,,,,,,,yes,,,,,,,Fahrrad-Selbsthilfewerkstatt,,,,,,,,,,,workshop,assisted_self_service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3363648,48.1992427]}"
Feature,node/687985471,,,,,,,Fahrrad Pur,"Mo-Fr 09:00-12:00, 15:00-19:00; Sa 9:00-12:00",,,,,,bicycle,https://www.fahrradpur.com,node/687985471,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.7367383,47.4179862]}"
Feature,node/701320864,Wien,26,1070,Westbahnstraße,,office@elektrobiker.com,Elektrobiker,"Tu-Fr 10:00-12:30,14:00-18:30",,,,,,bicycle,https://www.elektrobiker.com/,node/701320864,,,,AT,,,,,,,,,,,yes,yes,,2025-06-20,,,,,,,,,,,,,,,,,,"Lastenräder, Anhänger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3445693,48.2019155]}"
Feature,node/716956689,Wien,37,1040,Weyringergasse,,,Fadu Bike Shop Wien,Mo-Fr 10:00-18:00; Sa 10:00-14:00,,,,,yes,bicycle,https://www.fadu-bike.at,node/716956689,,,,AT,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3740641,48.1880956]}"
Feature,node/759647673,,,,,,,Radwerkstatt Helmut Mayr,"We,Th 17:00-19:00",,,,,,bicycle,,node/759647673,,,,,,,,,,,,,,,,,,2025-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.3917464,47.2712409]}"
